object,version,sheet_type,title,path,page,area_total_m2,area_living_m2,room_counts,rooms
"1,5 модуля вишневское размеры",,планировка,"1,5МД Вишневское","2025\Дома\Вищневское озеро 9МД и остальное\1,5 МОДУЛЯ\ПЛАНИРОВКИ\1,5 Модуля Вишневское Размеры.pdf",1,0.0,0.0,,
1.27.2,,планировка,COUNTRY HOUSE,Планировки\Обновленные\1.27.2.pdf,1,27.2,27.2,"гостиная:1, кухня:1, санузел:1",гостиная 17.1м²; кухня 2.3м²; санузел 3.4м²; коридор 4.4м²
1.30.3,,планировка,COUNTRYHOUSE,Планировки\Обновленные\1.30.3.pdf,1,20.5,20.5,гостиная:1,гостиная 20.5м²; Место под фурако
11+мд углово игорь,в1,планировка,11+МД Игорь В1,2025\Планировки\Юра\11+МД Углово Игорь В1.pdf,1,250.6,154.0,"гостиная:1, прихожая:2, санузел:2, спальня:4, терраса:1",Гостиная-Кухня 56.65м²; Прихожая 9.51м²; Гардероб 2.54м²; Спальня 12.29м²; Спальня 8.94м²; Спальня 16.59м²; С/У 7.86м²; Гардеробная 8.31м²; С/У 3.0м²; Спальня 9.14м²; Хоз помещение 2.87м²; Котельная 3.57м²; Холл 12.73м²; Терраса 93.55м²; Крыльцо 3.0м²
11+мд углово игорь,в2,планировка,11+МД Игорь В2,2025\Планировки\Юра\11+МД Углово Игорь В2.pdf,1,260.4,158.2,"гостиная:1, прихожая:3, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня 9.17м²; Игровая зона 7.3м²; С/У 6.38м²; Спальня 10.94м²; Прихожая 6.24м²; Котельная+Кладовая 7.26м²; Холл 12.89м²; Терраса 93.55м²; Крыльцо 8.65м²
11+мд углово игорь,в2,планировка,11+МД Игорь В2,2025\Планировки\Юра\11+МД Углово Игорь В2.pdf,2,260.4,158.2,"гостиная:1, прихожая:3, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня 9.17м²; Игровая зона 7.3м²; С/У 6.38м²; Спальня 10.94м²; Прихожая 6.24м²; Котельная+Кладовая 7.26м²; Холл 12.89м²; Терраса 93.55м²; Крыльцо 8.65м²
11+мд углово игорь,в2,планировка,11+МД Игорь В2,2025\Планировки\Юра\11+МД Углово Игорь В2.pdf,3,260.4,158.2,"гостиная:1, прихожая:3, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня 9.17м²; Игровая зона 7.3м²; С/У 6.38м²; Спальня 10.94м²; Прихожая 6.24м²; Котельная+Кладовая 7.26м²; Холл 12.89м²; Терраса 93.55м²; Крыльцо 8.65м²
11мд - террасы,,планировка,Конструкция террасы,2025\Дома\11МД Москва Евгения\11мд - террасы.pdf,1,59.6,0.0,терраса:8,Терраса №3 12.7м²; Терраса №4 12.0м²; Терраса №5 12.0м²; Терраса №6 3.0м²; Терраса №7 7.2м²; Терраса №8 3.8м²; Терраса №9 4.1м²; Терраса №10 4.8м²
11мд - террасы,,спецификация,Конструкция террасы,2025\Дома\11МД Москва Евгения\11мд - террасы.pdf,2,0.0,0.0,,
11мд мск,в10,планировка,COUNTRY HOUSE,2025\Планировки\Юра\11МД МСК В10.pdf,1,261.5,182.6,"гостиная:1, кухня:1, прихожая:2, санузел:3, спальня:3, терраса:2",Спальня 16.87м²; С/У 7.33м²; Спальня 15.74м²; Коридор 9.3м²; Прихожая 13.36м²; С/У 2.44м²; Гостиная 40.31м²; Кухня 11.47м²; Кладовая 8.05м²; Котельная 7.33м²; Кабинет 13.92м²; С/У 7.92м²; Холл 6.22м²; Спальня 22.35м²; Терраса 60.44м²; Терраса 18.49м²
11мд мск,в11,планировка,11МД МСК В11,2025\Планировки\Юра\11МД МСК В11.pdf,1,261.4,182.5,"гостиная:1, кухня:1, прихожая:2, санузел:4, спальня:3, терраса:2",Спальня 16.87м²; С/У 4.34м²; С/У 4.31м²; Спальня 15.88м²; Коридор 7.71м²; Прихожая 13.36м²; С/У 2.44м²; Гостиная 40.31м²; Кухня 11.47м²; Кладовая 8.05м²; Комнатная 7.33м²; Кабинет 13.92м²; Холл 6.22м²; С/У 7.92м²; Спальная 22.35м²; Терраса 60.44м²; Терраса 18.49м²
11мд мск,в2,планировка,COUNTRY HOUSE,2025\Планировки\Юра\11МД МСК В2.pdf,1,238.1,177.9,"гостиная:1, прихожая:2, санузел:2, спальня:3, терраса:1",Спальня 16.72м²; С/У 7.18м²; Спальня 15.4м²; Коридор 8.83м²; Прихожая 15.23м²; Кухня-Гостиная 50.1м²; Кладовая 8.96м²; Котельная 8.02м²; Кабинет 16.46м²; С/У 7.16м²; Холл 4.74м²; Спальня 19.09м²; Терраса 56.56м²; Крыльцо 3.65м²
11мд мск,в3,,,2025\Планировки\Юра\11МД МСК В3.pdf,1,0.0,0.0,,
11мд мск,в4,,,2025\Планировки\Юра\11МД МСК В4.pdf,1,0.0,0.0,,
11мд мск,в5,планировка,COUNTRY HOUSE,2025\Планировки\Юра\11МД МСК В5.pdf,1,256.8,177.9,"гостиная:1, прихожая:2, санузел:2, спальня:3, терраса:2",Спальня 16.72м²; С/У 7.19м²; Спальня 15.4м²; Коридор 8.82м²; Прихожая 15.23м²; Кухня-Гостиная 50.1м²; Кладовая 8.96м²; Котельная 8.02м²; Кабинет 16.46м²; С/У 7.16м²; Холл 4.74м²; Спальня 19.09м²; Терраса 60.44м²; Терраса 18.49м²
11мд мск,в6,планировка,COUNTRY HOUSE,2025\Планировки\Юра\11МД МСК В6.pdf,1,256.9,178.0,"гостиная:1, прихожая:2, санузел:2, спальня:3, терраса:2",Спальня 16.72м²; С/У 7.19м²; Спальня 15.4м²; Коридор 8.82м²; Прихожая 15.23м²; Кухня-Гостиная 50.1м²; Кладовая 8.96м²; Котельная 8.02м²; Кабинет 9.91м²; С/У 7.16м²; Холл 6.42м²; Спальня 24.07м²; Терраса 60.44м²; Терраса 18.49м²
11мд мск,в7,планировка,COUNTRY HOUSE,2025\Планировки\Юра\11МД МСК В7.pdf,1,256.8,177.9,"гостиная:1, прихожая:2, санузел:2, спальня:3, терраса:2",Спальня 16.72м²; С/У 7.19м²; Спальня 15.4м²; Коридор 8.82м²; Прихожая 15.23м²; Кухня-Гостиная 50.1м²; Кладовая 8.96м²; Котельная 8.02м²; Кабинет 12.25м²; С/У 7.78м²; Холл 5.63м²; Спальня 21.78м²; Терраса 60.44м²; Терраса 18.49м²
11мд мск,в8,,,2025\Планировки\Юра\11МД МСК В8.pdf,1,0.0,0.0,,
11мд мск,в9,,,2025\Планировки\Юра\11МД МСК В9.pdf,1,0.0,0.0,,
11мд мск евгения,в12,планировка,11МД МСК Евгения В12,2025\Планировки\Юра\11МД МСК Евгения В12.pdf,1,261.4,182.5,"гостиная:1, кухня:1, прихожая:2, санузел:3, спальня:3, терраса:2",Спальня 16.87м²; С/У 4.34м²; С-У 4.31м²; Спальня 15.88м²; Коридор 7.71м²; Прихожая 13.36м²; С/У 2.44м²; Гостиная 40.31м²; Кухня 11.47м²; Кладовая 8.05м²; Комнатная 7.33м²; Кабинет 13.92м²; Холл 6.22м²; С/У 7.92м²; Спальня 22.35м²; Терраса 60.44м²; Терраса 18.49м²
11мд мск евгения,в13,планировка,11МД МСК Евгения В13,2025\Планировки\Юра\11МД МСК Евгения В13.pdf,1,262.6,182.5,"гостиная:1, кухня:1, прихожая:2, санузел:4, спальня:3, терраса:2",Спальня 16.87м²; С/У 3.92м²; С/У 4.73м²; Спальная 15.88м²; Коридор 7.71м²; Прихожая 13.36м²; С/У 2.44м²; Гостиная 40.31м²; Кухня 11.47м²; Кладовая 8.05м²; Комнатная 7.33м²; Кабинет 13.92м²; Холл 6.22м²; С/У 7.92м²; Спальная 22.35м²; Терраса 60.44м²; Терраса 19.7м²
11мд мск евгения,в14,планировка,11МД МСК Евгения В14,2025\Дома\11МД Москва Евгения\11МД МСК Евгения В14.pdf,1,245.9,182.5,"гостиная:1, кухня:1, прихожая:2, санузел:4, спальня:3, терраса:1",Спальня 16.87м²; С/У 3.92м²; С/У 4.73м²; Спальная 15.88м²; Коридор 7.71м²; Прихожая 13.36м²; С/У 2.44м²; Гостиная 40.31м²; Кухня 11.47м²; Кладовая 8.05м²; Компенсация 7.33м²; Кабинет 13.92м²; Холл 6.22м²; С/У 7.92м²; Спальная 22.35м²; Терраса 60.44м²; Крыльцо 3.0м²
11мд мск евгения,в14,планировка,11МД МСК Евгения В14,2025\Планировки\Юра\11МД МСК Евгения В14.pdf,1,245.9,182.5,"гостиная:1, кухня:1, прихожая:2, санузел:4, спальня:3, терраса:1",Спальня 16.87м²; С/У 3.92м²; С/У 4.73м²; Спальная 15.88м²; Коридор 7.71м²; Прихожая 13.36м²; С/У 2.44м²; Гостиная 40.31м²; Кухня 11.47м²; Кладовая 8.05м²; Комнатная 7.33м²; Кабинет 13.92м²; Холл 6.22м²; С/У 7.92м²; Спальная 22.35м²; Терраса 60.44м²; Крыльцо 3.0м²
11мд мск евгения,в16,,,2025\Планировки\Юра\11МД МСК Евгения В16.pdf,1,0.0,0.0,,
"11мд мск евгения - навесы, пергалы",,разрез,Планировочное решение,"2025\Дома\11МД Москва Евгения\11МД МСК Евгения - Навесы, пергалы.pdf",1,0.0,0.0,,
"11мд мск евгения - навесы, пергалы",,разрез,Разрез А-А Стойка пергалы,"2025\Дома\11МД Москва Евгения\11МД МСК Евгения - Навесы, пергалы.pdf",2,0.0,0.0,,
11мд мск евгения в15 варианты су,,разрез,11МД МСК Евгения,2025\Планировки\Юра\11МД МСК Евгения В15 Варианты СУ.pdf,1,0.0,0.0,,
11мд мск евгения в15 варианты су4,,планировка,11МД МСК Евгения,2025\Планировки\Юра\11МД МСК Евгения В15 Варианты СУ4.pdf,1,0.0,0.0,,
11мд мск евгения в15 варианты су5,,планировка,11МД МСК Евгения,2025\Планировки\Юра\11МД МСК Евгения В15 Варианты СУ5.pdf,1,0.0,0.0,,
11мд мск евгения в16+доп,,планировка,11МД МСК Евгения В14+ДОП,2025\Планировки\Юра\11МД МСК Евгения В16+ДОП.pdf,1,245.9,182.5,"гостиная:1, кухня:1, прихожая:2, санузел:4, спальня:3, терраса:1",Спальня 16.87м²; С/У 3.92м²; С/У 4.73м²; Спальня 15.88м²; Коридор 7.71м²; Прихожая 13.36м²; С/У 2.44м²; Гостиная 40.31м²; Кухня 11.47м²; Кладовая 8.05м²; Комнатная 7.33м²; Кабинет 13.92м²; Холл 6.22м²; С/У 7.92м²; Спальная 22.35м²; Терраса 60.44м²; Крыльцо 3.0м²
12+мд углово игорь,в3,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В3.pdf,1,260.7,158.5,"гостиная:1, прихожая:3, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня-Мервака 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Прихожая 6.24м²; Котельная-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в3,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В3.pdf,2,260.7,158.5,"гостиная:1, прихожая:3, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальная-Мервака 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Прихожая 6.24м²; Котельная+Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в3,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В3.pdf,3,260.7,158.5,"гостиная:1, прихожая:3, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальная-Мервака 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Прихожая 6.24м²; Котельная+Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в4,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В4.pdf,1,260.7,158.5,"гостиная:1, прихожая:3, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня-Мервака 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Прихожая 6.24м²; Котельная-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в4,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В4.pdf,2,260.7,158.5,"гостиная:1, прихожая:3, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальная-Мервака 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Прихожая 6.24м²; Котельная+Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в4,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В4.pdf,3,260.7,158.5,"гостиная:1, прихожая:3, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальная-Мервака 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Прихожая 6.24м²; Котельная-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в5,планировка,12+МД Игорь ВЗ,2025\Планировки\Юра\12+МД Углово Игорь В5.pdf,1,260.7,158.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня-Мереба 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Гардеробная 6.24м²; Котельная-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в5,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В5.pdf,2,260.7,158.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня-Мереба 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Гардеробная 6.24м²; Котельная-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в5,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В5.pdf,3,260.7,158.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня-Мереба 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Гардеробная 6.24м²; Котельная-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в6,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В6.pdf,1,260.7,158.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня-Мереба 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Гардеробная 6.24м²; Котельная-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в6,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В6.pdf,2,260.7,158.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня-Мереба 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Гардеробная 6.24м²; Котельная-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в6,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В6.pdf,3,260.7,158.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня-Мереба 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Гардеробная 6.24м²; Котельная-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в7,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В7.pdf,1,260.7,158.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня-Мереба 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Гардеробная 6.24м²; Котельная-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в7,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В7.pdf,2,260.7,158.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня-Мезонин 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Гардеробная 6.24м²; Котельная-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в7,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В7.pdf,3,260.7,158.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня-Мезонин 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Гардеробная 6.24м²; Котельная-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в8,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В8.pdf,1,260.7,158.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.42м²; Прихожая 9.51м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня - Гардеробная 18.06м²; С/У 7.08м²; Спальня-Неровная 16.86м²; Коридор 9.35м²; С/У 6.38м²; Спальня 10.94м²; Гардеробная 6.24м²; Камельонка-Кладовая 7.26м²; Холл 3.45м²; Терраса 93.55м²; Крыльцо 8.65м²
12+мд углово игорь,в9,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В9.pdf,1,213.4,157.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.32м²; Прихожая 9.61м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня 17.92м²; С/У 7.08м²; Спальня-Меридиан 16.59м²; Коридор 9.35м²; С/У 5.41м²; Спальня 11.74м²; Гардеробная 5.9м²; Котельная-Кладовая 7.2м²; Холл 3.45м²; Терраса 55.92м²
12+мд углово игорь,в9,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В9.pdf,2,213.4,157.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.32м²; Прихожая 9.61м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня 17.92м²; С/У 7.08м²; Спальня-Меридиан 16.59м²; Коридор 9.35м²; С/У 5.41м²; Спальня 11.74м²; Гардеробная 5.9м²; Котельная-Кладовая 7.2м²; Холл 3.45м²; Терраса 55.92м²
12+мд углово игорь,в9,планировка,12+МД Игорь В3,2025\Планировки\Юра\12+МД Углово Игорь В9.pdf,3,213.4,157.5,"гостиная:1, прихожая:2, санузел:3, спальня:4, терраса:1",Гостиная-Кухня 48.32м²; Прихожая 9.61м²; С/У 2.54м²; Спальня 12.39м²; Мастер спальня 17.92м²; С/У 7.08м²; Спальня-Меридиан 16.59м²; Коридор 9.35м²; С/У 5.41м²; Спальня 11.74м²; Гардеробная 5.9м²; Котельная-Кладовая 7.2м²; Холл 3.45м²; Терраса 55.92м²
12мд агалатово,в11,планировка,Country House,2025\Планировки\Для Василия\12МД Агалатово В11.pdf,1,311.7,217.1,"гостиная:1, детская:3, прихожая:2, санузел:3, спальня:1, терраса:2",Детская 1 16.67м²; Детская 2 18.65м²; Спальня 24.88м²; С/У 1 7.67м²; Молявная 7.8м²; Гостиная 33.65м²; С/У 2 4.56м²; Детская 3 28.81м²; С/У 3 1.76м²; Холл 64.73м²; Прихожая 7.92м²; Терраса 1 13.86м²; Терраса 2 80.76м²
